Repo Name,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),% Stale Issues,Old Issues (Open for >120 days),% Old Issues,% Issues Closed by Pull Request,Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Opened (First Time Contributor),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor)
v2x-ros-driver,13,8,11,4,1,3,1,1,100%,1,100%,0%,271,129,66,63,3,4,25,13,12,0,0,0,0,0,4,4,0,0,5,0,3,3,0,0
carma-web-ui,4,9,5,6,2,4,0,0,N/A,0,N/A,33%,65,167,116,51,3,4,22,11,11,0,0,0,0,0,7,4,3,0,4,0,4,3,1,0
carma-delphi-esr-driver,5,8,3,2,0,2,1,1,100%,1,100%,0%,2,61,36,25,0,3,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-delphi-srr2-driver,0,8,1,1,0,1,0,0,N/A,0,N/A,0%,2,64,32,32,1,3,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avt_vimba_camera,3,5,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,101,44,57,0,6,16,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-vehicle-model-framework,6,9,4,0,0,0,0,0,N/A,0,N/A,N/A,N/A,66,36,30,0,3,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novatel_gps_driver,1,4,5,0,0,0,0,0,N/A,0,N/A,N/A,N/A,110,39,71,0,3,15,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-velodyne-lidar-driver,0,8,3,2,0,2,0,0,N/A,0,N/A,50%,0,117,57,60,0,3,19,10,9,0,0,0,0,0,2,2,0,0,2,0,2,2,0,0
autoware.ai,6,6,14,2,1,1,2,2,100%,2,100%,N/A,N/A,275,131,144,1,3,26,12,14,0,0,0,0,0,6,5,1,0,6,1,3,2,1,0
carma-ssc-interface-wrapper,2,14,8,7,3,4,2,2,100%,2,100%,20%,12,162,68,94,2,3,21,9,12,0,0,0,0,0,7,6,1,0,7,1,3,2,1,0
carma-base,1,14,7,8,0,8,0,0,N/A,0,N/A,38%,9,227,104,123,2,2,27,13,14,0,0,0,0,0,7,7,0,0,6,0,2,2,0,0
carma-config,4,12,12,9,3,6,2,2,100%,2,100%,29%,10,427,302,125,5,3,32,18,14,0,0,0,0,0,12,12,0,0,6,6,6,6,0,0
carma-garmin-lidar-lite-v3-driver-wrapper,1,8,3,1,0,1,0,0,N/A,0,N/A,0%,0,88,43,45,0,4,15,7,8,0,0,0,0,0,2,2,0,0,2,0,2,2,0,0
